'11:33:31.513 AM 6/13/2018,Defrost (C/min),PASS Minimum 3 / 3.1,,,,,
'11:33:31.709 AM 6/13/2018,BIT Result (Overall),PASS All Test Pass / PASS - COMPLETE,,,,,
'3:09:49.584 PM 7/24/2019,HOME,PASS HOME / HOME,,,,,
'3:09:49.894 PM 7/24/2019,Scanner,PASS Connected / Connected,,,,,
'3:09:50.550 PM 7/24/2019,Remotes,PASS ID / Not Connected,,,,,
'3:09:50.633 PM 7/24/2019,DAQ System,PASS Serial Number / 26404559,,,,,
'3:09:50.729 PM 7/24/2019,DAQ Modules,PASS 6 / 6,,,,,
'3:09:51.056 PM 7/24/2019,Cryo / Suction Pedals,PASS Valid / Valid / Valid / Valid,,,,,
'3:09:51.860 PM 7/24/2019,Suction (inHg),PASS 15 inHg to 35 inHg / 18.4 inHg,,,,,
'3:09:52.458 PM 7/24/2019,Level Range (%),FAIL 25 to 100 / -0,,,,,
'3:09:52.656 PM 7/24/2019,BIT Result (Overall),FAIL All Test Pass / FAIL - EMPTY,,,,,
'3:18:18.292 PM 7/24/2019,HOME,PASS HOME / HOME,,,,,
'3:18:18.708 PM 7/24/2019,Scanner,PASS Connected / Connected,,,,,
'3:18:19.344 PM 7/24/2019,Remotes,PASS ID / Not Connected,,,,,
'3:18:19.428 PM 7/24/2019,DAQ System,PASS Serial Number / 26404559,,,,,
'3:18:19.545 PM 7/24/2019,DAQ Modules,PASS 6 / 6,,,,,
'3:18:19.887 PM 7/24/2019,Cryo / Suction Pedals,PASS Valid / Valid / Valid / Valid,,,,,
'3:18:20.684 PM 7/24/2019,Suction (inHg),PASS 15 inHg to 35 inHg / 18.9 inHg,,,,,
'3:18:21.267 PM 7/24/2019,Level Range (%),FAIL 25 to 100 / 0,,,,,
'3:18:21.491 PM 7/24/2019,BIT Result (Overall),FAIL All Test Pass / FAIL - EMPTY,,,,,
'5:01:18.583 PM 7/24/2019,HOME,PASS HOME / HOME,,,,,
'5:01:18.897 PM 7/24/2019,Scanner,PASS Connected / Connected,,,,,
'5:01:19.532 PM 7/24/2019,Remotes,PASS ID / Not Connected,,,,,
'5:01:19.615 PM 7/24/2019,DAQ System,PASS Serial Number / 26404559,,,,,
'5:01:19.730 PM 7/24/2019,DAQ Modules,PASS 6 / 6,,,,,
'5:01:20.059 PM 7/24/2019,Cryo / Suction Pedals,PASS Valid / Valid / Valid / Valid,,,,,
'5:01:20.856 PM 7/24/2019,Suction (inHg),PASS 15 inHg to 35 inHg / 19.2 inHg,,,,,
'5:01:21.456 PM 7/24/2019,Level Range (%),FAIL 25 to 100 / 0,,,,,
'5:01:21.657 PM 7/24/2019,BIT Result (Overall),FAIL All Test Pass / FAIL - EMPTY,,,,,
'5:21:38.251 PM 7/24/2019,HOME,PASS HOME / HOME,,,,,
'5:21:38.498 PM 7/24/2019,Scanner,PASS Connected / Connected,,,,,
'5:21:39.093 PM 7/24/2019,Remotes,PASS ID / Not Connected,,,,,
'5:21:39.200 PM 7/24/2019,DAQ System,PASS Serial Number / 26404559,,,,,
'5:21:39.330 PM 7/24/2019,DAQ Modules,PASS 6 / 6,,,,,
'5:21:39.679 PM 7/24/2019,Cryo / Suction Pedals,PASS Valid / Valid / Valid / Valid,,,,,
'5:21:40.477 PM 7/24/2019,Suction (inHg),PASS 15 inHg to 35 inHg / 19.0 inHg,,,,,
'5:21:41.081 PM 7/24/2019,Level Range (%),PASS 25 to 100 / 114,,,,,
'5:21:55.257 PM 7/24/2019,Vent,PASS PASS / 0.00001 / -0.00183,,,,,
